County,Cases Status,Testing Status,Overall Status,Link
Alameda,2,1,2,http://www.acphd.org/2019-ncov.aspx
Alpine,1,1,1,http://alpinecountyca.gov/Index.aspx?NID=516
Amador,1,1,1,https://www.amadorgov.org/services/covid-19
Butte,1,1,1,https://www.buttecounty.net/publichealth
Calaveras,1,1,1,https://covid19.calaverasgov.us/
Colusa,1,1,1,https://www.countyofcolusa.org/99/Public-Health
Contra Costa,2,1,2,https://www.coronavirus.cchealth.org/
Del Norte,1,1,1,http://www.co.del-norte.ca.us/departments/health-human-services/public-health
El Dorado,2,1,2,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19.aspx
Fresno,2,1,2,https://www.co.fresno.ca.us/departments/public-health/covid-19
Glenn,1,1,1,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19
Humboldt,1,1,1,http://humboldtgov.org/
Imperial,4,4,4,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/
Inyo,3,2,3,https://www.inyocounty.us/coronavirus-covid-19-response
Kern,3,2,3,https://kernpublichealth.com/2019-novel-coronavirus/
Kings,3,3,3,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19/-fsiteid-1
Lake,1,1,1,http://health.co.lake.ca.us/Coronavirus.htm
Lassen,1,2,2,http://www.co.lassen.ca.us/
Los Angeles,4,4,4,http://publichealth.lacounty.gov/media/Coronavirus/
Madera,1,1,1,https://www.maderacounty.com/government/public-health/health-updates/corona-virus
Marin,2,1,2,https://coronavirus.marinhhs.org/
Mariposa,2,1,2,http://www.mariposacounty.org/1592/COVID-19-Information
Mendocino,2,1,2,https://www.mendocinocounty.org/community/novel-coronavirus
Merced,2,2,2,https://www.co.merced.ca.us/3350/Coronavirus-Disease-2019
Modoc,1,1,1,http://www.co.modoc.ca.us/
Monterey,3,2,3,https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov
Napa,3,1,3,https://www.countyofnapa.org/2739/Coronavirus
Nevada,1,1,1,https://www.mynevadacounty.com/2924/Coronavirus
Orange,3,3,3,https://covid19info.ocgov.com/
Placer,1,1,1,https://www.placer.ca.gov/coronavirus
Plumas,1,1,1,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19
Riverside,1,2,2,https://www.rivcoph.org/coronavirus
Sacramento,2,2,2,https://dhs.saccounty.net/PUB/Pages/PUB-Home.aspx
San Benito,1,1,1,https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/
San Bernardino,3,3,3,http://wp.sbcounty.gov/dph/coronavirus/
San Diego,4,3,4,https://www.sandiegocounty.gov/coronavirus.html
San Francisco,2,2,2,https://sf.gov/topics/coronavirus-covid-19
San Joaquin,1,2,2,https://www.sjgov.org/covid19/
San Luis Obispo,2,2,2,https://www.emergencyslo.org/en/covid19.aspx
San Mateo,2,2,2,https://www.smchealth.org/coronavirus
Santa Barbara,2,2,2,https://publichealthsbc.org/
Santa Clara,1,1,1,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx
Santa Cruz,2,1,2,https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx
Shasta,1,1,1,https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus
Sierra,1,2,2,http://sierracounty.ca.gov/582/Coronavirus-COVID-19
Siskiyou,1,2,2,https://www.co.siskiyou.ca.us/publichealth/page/coronavirus-covid-19-what-siskiyou-county-residents-need-know
Solano,1,1,1,http://www.solanocounty.com/depts/ph/ncov.asp
Sonoma,2,1,2,https://socoemergency.org/emergency/novel-coronavirus/
Stanislaus,1,1,1,http://schsa.org/publichealth/pages/corona-virus/
Sutter,1,1,1,https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus
Tehama,1,1,1,https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events
Trinity,1,2,2,https://www.trinitycounty.org/
Tulare,1,2,2,https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/
Tuolumne,1,1,1,https://www.tuolumnecounty.ca.gov/250/Public-Health
Ventura,2,2,2,https://www.vcemergency.com/
Yolo,1,1,1,https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019
Yuba,2,1,2,https://www.yuba.org/coronavirus/
Mono,1,1,1,null